Title;DOI;Link;Local_HTML_File;Keywords;Status
Embodied Measurement: Tangible Interactions to Enhance the Validity of Self-Report Measures;10.1145/3706598.3714055;https://dl.acm.org/doi/fullHtml/10.1145/3706598.3714055;Not downloaded;Cognitive load, Embodied measurement, Haptic feedback, Biosignals;Missing
Stop the Clock - Counteracting Bias Exploited by Attackers through an Interactive Augmented Reality Phishing Training;10.1145/3706598.3714023;https://dl.acm.org/doi/fullHtml/10.1145/3706598.3714023;Not downloaded;Phishing, Augmented Reality, Training, Human-Centred Security;Missing
